"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2013","19.0000","19.0780","19.2295","19.0250","","0.13%"
"11/01/2013","18.9750","19.0035","19.0700","19.0035","","0.44%"
"10/01/2013","18.8920","18.9200","19.0460","18.9070","","0.35%"
"09/01/2013","18.8260","18.8635","19.0130","18.8635","","0.30%"
"08/01/2013","18.7700","18.8015","18.9350","18.7975","","0.33%"
"07/01/2013","18.7080","18.7360","18.8790","18.7360","","0.35%"
"06/01/2013","18.6430","18.6660","18.7360","18.6660","","0.38%"
"05/01/2013","18.5730","18.5855","18.6660","18.5855","","0.43%"
"04/01/2013","18.4930","18.5010","18.6815","18.4965","","0.46%"
"03/01/2013","18.4090","18.4220","18.5925","18.3870","","0.43%"
"02/01/2013","18.3300","18.3500","18.5480","18.3175","","0.02%"
"01/01/2013","18.3270","18.2750","18.4835","18.2550","","0.79%"
"12/01/2012","18.1840","18.2015","18.3075","18.1675","","0.40%"
"11/01/2012","18.1110","18.1250","18.2945","18.0910","","0.42%"
"10/01/2012","18.0350","18.0530","18.1570","18.0240","","0.40%"
"09/01/2012","17.9630","17.9965","18.0850","17.9630","","0.31%"
"08/01/2012","17.9070","17.9275","18.0285","17.8940","","0.39%"
"07/01/2012","17.8380","17.8190","18.0090","17.7890","","0.61%"
"06/01/2012","17.7300","17.6910","17.8365","17.6610","","0.35%"
"05/01/2012","17.6680","17.5625","17.7235","17.5335","","0.73%"
"04/01/2012","17.5400","17.5015","17.5950","17.2535","","0.86%"
"03/01/2012","17.3900","17.3360","17.5080","17.3385","","-0.06%"
"02/01/2012","17.4000","17.2780","17.4545","17.3325","","0.71%"
"01/01/2012","17.2780","17.2080","17.4865","17.2620","","0.41%"
"12/01/2011","17.2080","17.1700","17.3255","17.2260","","0.22%"
"11/01/2011","17.1700","17.1250","17.2870","17.1805","","-0.10%"
"10/01/2011","17.1880","17.0810","17.2425","17.1350","","0.63%"
"09/01/2011","17.0810","17.0290","17.1970","17.0825","","0.31%"
"08/01/2011","17.0290","16.9620","17.1435","17.0180","","0.39%"
"07/01/2011","16.9620","16.9050","17.0780","16.9615","","-0.03%"
"06/01/2011","16.9670","16.7950","17.0205","16.8790","","1.02%"
"05/01/2011","16.7950","16.7770","16.9095","16.8330","","-0.26%"
"04/01/2011","16.8380","16.7210","16.8915","16.7750","","0.70%"
"03/01/2011","16.7210","16.6550","16.8350","16.7075","","0.40%"
"02/01/2011","16.6550","16.6010","16.7665","16.6535","","-0.04%"
"01/01/2011","16.6610","16.5480","16.7140","16.6020","","0.32%"
"12/01/2010","16.6080","16.4880","16.6610","16.5405","","0.73%"
"11/01/2010","16.4880","16.4360","16.7135","16.4880","","0.03%"
"10/01/2010","16.4830","16.4047","16.5354","16.4569","","0.09%"
"09/01/2010","16.4685","16.3739","16.4685","16.3739","","20.27%"
"08/01/2010","13.6935","13.6069","13.6935","13.6069","","0.35%"
"07/01/2010","13.6455","13.5611","13.7098","13.5611","","0.37%"
"06/01/2010","13.5950","13.5203","13.5950","13.5203","","0.30%"
"05/01/2010","13.5550","13.4760","13.5550","13.4760","","0.37%"
"04/01/2010","13.5050","13.4281","13.5050","13.4281","","0.33%"
"03/01/2010","13.4600","13.3797","13.4600","13.3797","","0.37%"
"02/01/2010","13.4100","13.3317","13.6522","13.3317","","5.30%"
"01/01/2010","12.7350","12.6951","12.7350","12.6951","","0.32%"
"12/01/2009","12.6950","12.6495","12.6950","12.6495","","0.32%"
"11/01/2009","12.6550","12.5903","12.6550","12.5903","","0.28%"
"10/01/2009","12.6200","12.5602","12.6200","12.5602","","0.20%"
"09/01/2009","12.5950","12.5312","12.5950","12.5312","","0.28%"
"08/01/2009","12.5600","12.5000","12.5600","12.5099","","10.76%"
"07/01/2009","11.3400","11.3600","11.3600","11.3400","","-0.31%"
"06/01/2009","11.3750","11.2950","11.3750","11.2950","","0.93%"
"05/01/2009","11.2700","11.2350","11.2700","11.2350","","0.31%"
"04/01/2009","11.2350","11.2000","11.2350","11.1800","","0.31%"
"03/01/2009","11.2000","11.1100","11.2000","11.1100","","0.86%"
"02/01/2009","11.1050","10.8950","11.1550","10.8950","","1.42%"
"01/01/2009","10.9500","9.9500","10.9500","9.9500","","10.05%"
"12/01/2008","9.9500","9.9500","10.0500","9.9500","","1.27%"
"11/01/2008","9.8250","9.7250","9.8250","9.7250","","0.51%"
"10/01/2008","9.7750","9.7750","9.7954","9.7750","","0.00%"
"09/01/2008","9.7750","9.7750","9.7750","9.7750","","0.00%"
"08/01/2008","9.7750","9.7750","9.7750","9.7750","","0.00%"
"07/01/2008","9.7750","9.6900","9.7750","9.6900","","1.03%"
"06/01/2008","9.6750","9.6400","9.6750","9.6400","","0.66%"
"05/01/2008","9.6118","9.5640","9.6118","9.5640","","0.38%"
"04/01/2008","9.5754","9.5277","9.5754","9.5277","","0.69%"
"03/01/2008","9.5100","9.4600","9.5100","9.4600","","1.71%"
"02/01/2008","9.3500","9.3000","9.3500","9.3000","","0.75%"
"01/01/2008","9.2800","9.2300","9.2800","9.2300","","0.87%"
"12/01/2007","9.2000","9.1500","9.2000","9.1500","","1.21%"
"11/01/2007","9.0900","9.0400","9.0900","9.0400","","0.00%"
"10/01/2007","9.0900","9.0400","9.0900","9.0400","","0.00%"
"09/01/2007","9.0900","9.0400","9.0900","9.0400","","0.11%"
"08/01/2007","9.0803","9.0351","9.0803","9.0351","","0.00%"
"07/01/2007","9.0800","9.0300","9.0800","9.0300","","0.07%"
"06/01/2007","9.0737","9.0285","9.0737","9.0285","","0.84%"
"05/01/2007","8.9980","8.9533","8.9980","8.9533","","1.04%"
"04/01/2007","8.9052","8.8609","8.9052","8.8609","","0.20%"
"03/01/2007","8.8873","8.8434","8.8873","8.8434","","0.03%"
"02/01/2007","8.8849","8.8407","8.8849","8.8407","","0.42%"
"01/01/2007","8.8476","8.8036","8.8476","8.8036","","0.56%"
"12/01/2006","8.7983","8.7546","8.7983","8.7546","","0.55%"
"11/01/2006","8.7499","8.7063","8.7499","8.7063","","0.03%"
"10/01/2006","8.7476","8.7041","8.7476","8.7041","","0.03%"
"09/01/2006","8.7452","8.7017","8.7452","8.7017","","0.03%"
"08/01/2006","8.7429","8.6994","8.7429","8.6994","","1.07%"
"07/01/2006","8.6500","8.4500","8.6500","8.4500","","-1.00%"
"06/01/2006","8.7378","8.6944","8.7378","8.6944","","0.03%"
"05/01/2006","8.7356","8.6922","8.7356","8.6922","","0.03%"
"04/01/2006","8.7331","8.6896","8.7331","8.6896","","0.96%"
"03/01/2006","8.6500","8.4500","8.6500","8.4500","","-0.90%"
"02/01/2006","8.7289","8.6855","8.7289","8.6855","","0.03%"
"01/01/2006","8.7267","8.6833","8.7267","8.6833","","0.04%"
"12/01/2005","8.7236","8.6802","8.7236","8.6802","","0.02%"
"11/01/2005","8.7218","8.6784","8.7218","8.6784","","0.03%"
